,T_obs,p_true,p_perm,q_perm_BH,q_perm_Lee
g__Mogibacterium;,-1.472431825085617,0.14162910377270474,0.12787212787212787,0.6890309690309689,1.0
g__Monoglobus;,0.26772856770020625,0.7890354482874773,0.8051948051948052,0.9331881990841528,1.0
g__Moryella;,1.641266164828299,0.1014666085932735,0.12187812187812187,0.6843573093573093,1.0
g__Muribaculaceae;,1.0917755353328384,0.2755374811251337,0.3086913086913087,0.8222829801777171,1.0
g__NK4A214_group;,1.2807105026643482,0.2009793547514445,0.2137862137862138,0.7586572719316083,1.0
g__Negativibacillus;,-1.6212838049118157,0.10568303140800997,0.11788211788211789,0.6843573093573093,1.0
g__Odoribacter;,1.36568764011777,0.1727443671433545,0.16483516483516483,0.7107408720311946,1.0
g__Olsenella;,-1.6047417765729906,0.1092780364985262,0.12087912087912088,0.6843573093573093,1.0
g__Oscillibacter;,-1.256016096261144,0.20978584864410552,0.22477522477522477,0.7770246994384925,1.0
g__Oscillospira;,0.380378722379452,0.7038504015696844,0.6753246753246753,0.9100865577375644,1.0
g__Oxalobacter;,0.5850361781993203,0.5588274242463411,0.5504495504495505,0.879093129093129,1.0
g__Paludicola;,-0.09214839348684879,0.926622658263931,0.916083916083916,0.9597693972693973,1.0
g__Parabacteroides;,-2.0495003409752317,0.04101377651032337,0.04095904095904096,0.4322256690677744,1.0
g__Paraprevotella;,-0.16742398390969554,0.8671144379786263,0.8611388611388612,0.9358175699639115,1.0
g__Parasutterella;,-0.20834596555800317,0.8350565841170463,0.8131868131868132,0.9332399444131287,1.0
g__Peptococcus;,0.5916511359847911,0.5543922759127915,0.5644355644355644,0.8841353958541458,1.0
g__Phascolarctobacterium;,-1.1295574085099311,0.2592866837493662,0.26873126873126874,0.8212287712287712,1.0
g__Phocea;,0.8043793166142447,0.4216183353494355,0.4145854145854146,0.8407198182982936,1.0
g__Prevotella;,0.23663325284659043,0.8130529654088632,0.8231768231768232,0.9332399444131287,1.0
g__Prevotellaceae_NK3B31_group;,1.2371282929385525,0.21670841655964734,0.2217782217782218,0.7733310168092777,1.0
g__Prevotellaceae_UCG-001;,-0.8517953475384065,0.39479745381136433,0.3696303696303696,0.8407198182982936,1.0
g__Prevotellaceae_UCG-003;,-0.8066144008247246,0.42033045958322135,0.42857142857142855,0.8407198182982936,1.0
g__Pseudoflavonifractor;,-0.800107228586987,0.4240864026208019,0.37662337662337664,0.8407198182982936,1.0
g__RF39;,2.1964562436623996,0.028587504529141737,0.04795204795204795,0.4807192807192807,1.0
g__Rikenellaceae_RC9_gut_group;,-0.7613527590507342,0.4468598865103175,0.4515484515484515,0.8407198182982936,1.0
g__Romboutsia;,1.0626891891950632,0.28851387313375626,0.32167832167832167,0.8292662751261478,1.0
g__Roseburia;,-0.9303108291855404,0.3527273441372555,0.35364635364635366,0.8407198182982936,1.0
g__Ruminococcus;,1.4955159415535364,0.13550661712882286,0.15684315684315683,0.7107408720311946,1.0
g__Sellimonas;,-1.5467104133037766,0.12266194246415486,0.13186813186813187,0.689639474449601,1.0
g__Senegalimassilia;,-1.150295231497217,0.2506557111701269,0.24175824175824176,0.7946315979102865,1.0
g__Slackia;,-0.9196559879391457,0.3582634179573214,0.36163836163836166,0.8407198182982936,1.0
g__Solobacterium;,-0.49713260583706786,0.6193472858455598,0.6193806193806194,0.8924385223317608,1.0
g__Streptococcus;,0.8567801596060304,0.3920392197725563,0.3946053946053946,0.8407198182982936,1.0
g__Subdoligranulum;,1.2816203290646453,0.20066014301624763,0.24575424575424576,0.7979681608713867,1.0
g__Succinatimonas;,-1.1723361054664025,0.24170524522638615,0.21978021978021978,0.7730865625602468,1.0
g__Succiniclasticum;,1.371370504329456,0.17096809841536786,0.11988011988011989,0.6843573093573093,1.0
g__Succinivibrio;,-1.4108177427281907,0.15901473985303918,0.17382617382617382,0.7186009866422237,1.0
g__Sutterella;,-2.4117041661650256,0.016292366701031777,0.025974025974025976,0.37198515769944346,0.999
g__TM7x;,-0.27866678111603005,0.7806332849680342,0.7282717282717283,0.9128810583356037,1.0
g__Terrisporobacter;,0.20036144941495856,0.8412917608351232,0.8471528471528471,0.9343680842318445,1.0
g__Turicibacter;,-0.6971469689165035,0.4860840828888151,0.5074925074925075,0.8734098519506245,1.0
g__Tyzzerella;,-2.313628407152112,0.021154546534528786,0.016983016983016984,0.32047952047952044,1.0
g__UBA1819;,1.993657346028858,0.04681493513391543,0.03296703296703297,0.40059940059940063,1.0
g__UC5-1-2E3;,-0.3223192914174432,0.747366025350769,0.7352647352647352,0.9128810583356037,1.0
g__UCG-002;,3.586074780986754,0.00037385595489330096,0.000999000999000999,0.06676656676656677,0.309
g__UCG-003;,3.676610636956601,0.0002659813687907482,0.000999000999000999,0.06676656676656677,0.309
g__UCG-004;,-1.2801636126951583,0.20117140939669567,0.18681318681318682,0.7434547434547434,1.0
g__UCG-005;,3.2947197487212545,0.0010659684323147064,0.001998001998001998,0.11445697159982875,0.511
g__UCG-007;,-0.0023252421450566125,0.998145795265045,0.998001998001998,0.999000999000999,1.0
g__UCG-009;,-0.7256549864816494,0.4684414134918551,0.4355644355644356,0.8407198182982936,1.0
g__UCG-010;,3.1101275840566536,0.0019933161497962828,0.004995004995004995,0.18209063663609118,0.511
g__Veillonella;,-1.331992743270368,0.1835616244555969,0.17182817182817184,0.7186009866422237,1.0
g__Victivallaceae;,-0.5427341399439758,0.5875914610122938,0.5774225774225774,0.8846570096570098,1.0
g__Victivallis;,1.1202507684553626,0.2632264523255024,0.2867132867132867,0.8212287712287712,1.0
g__[Bacteroides]_pectinophilus_group;,2.155551815225251,0.031667805046896785,0.030969030969030968,0.4005994005994006,1.0
g__[Clostridium]_innocuum_group;,-0.5255621262248961,0.599460888184072,0.5934065934065934,0.8912211384121496,1.0
g__[Clostridium]_methylpentosum_group;,-2.025189581450004,0.04345950627953476,0.05194805194805195,0.48444578677136824,1.0
g__[Eubacterium]_brachy_group;,0.09594900514088267,0.9236053615445821,0.9050949050949051,0.9551133077448867,1.0
g__[Eubacterium]_coprostanoligenes_group;,0.7532108702984514,0.4517315954178529,0.4745254745254745,0.849485336092479,1.0
g__[Eubacterium]_eligens_group;,3.703557469083707,0.00024002461886067064,0.000999000999000999,0.06676656676656677,0.309
g__[Eubacterium]_fissicatena_group;,1.1080302448430763,0.2684624335828089,0.25374625374625376,0.814017982017982,1.0
g__[Eubacterium]_hallii_group;,-0.7645697542574467,0.4449432916842343,0.46153846153846156,0.8407198182982936,1.0
g__[Eubacterium]_nodatum_group;,0.5415661284338947,0.5883953317137263,0.5724275724275725,0.8844002151694459,1.0
g__[Eubacterium]_ruminantium_group;,0.9178914176915789,0.3591855245759775,0.3866133866133866,0.8407198182982936,1.0
g__[Eubacterium]_siraeum_group;,1.4712691546762964,0.1419430244346938,0.15884115884115885,0.7107408720311946,1.0
g__[Eubacterium]_ventriosum_group;,0.7875966615028656,0.43136258597861554,0.45754245754245754,0.8407198182982936,1.0
g__[Eubacterium]_xylanophilum_group;,3.2886205051604644,0.0010887559516977693,0.000999000999000999,0.06676656676656677,0.511
g__[Ruminococcus]_gauvreauii_group;,1.3933904736643474,0.164214917880636,0.15984015984015984,0.7107408720311946,1.0
g__[Ruminococcus]_gnavus_group;,-1.5577610125249488,0.12001879562201828,0.1108891108891109,0.6737353555535375,1.0
g__[Ruminococcus]_torques_group;,-0.9694370716418608,0.33286710518203433,0.3116883116883117,0.8222829801777171,1.0
g__unknown_100;,0.22250791187241056,0.8240231894589847,0.8261738261738262,0.9332399444131287,1.0
g__unknown_101;,-1.1098139277482626,0.26769375814837937,0.27472527472527475,0.8212287712287712,1.0
g__unknown_102;,2.4056135426137493,0.016562767423060898,0.01998001998001998,0.32047952047952044,0.999
g__unknown_103;,-0.32950954759475165,0.7419295468369655,0.7262737262737263,0.9128810583356037,1.0
g__unknown_104;,0.2893412181857127,0.7724584399433758,0.7512487512487512,0.9128810583356037,1.0
g__unknown_105;,0.844932578393984,0.3986140232197538,0.38961038961038963,0.8407198182982936,1.0
g__unknown_108;,0.29798179671491004,0.7658596538591462,0.7492507492507493,0.9128810583356037,1.0
g__unknown_109;,0.8520714501061879,0.39464437124771334,0.3916083916083916,0.8407198182982936,1.0
g__unknown_10;,0.910550275185072,0.36303781067103,0.3626373626373626,0.8407198182982936,1.0
g__unknown_110;,0.3998181124751846,0.6894871878226572,0.6883116883116883,0.9128810583356037,1.0
g__unknown_111;,0.22304749884785913,0.8236034786694372,0.8041958041958042,0.9331881990841528,1.0
g__unknown_113;,1.0341792790396735,0.30162827195726644,0.32367632367632365,0.8292662751261478,1.0
g__unknown_114;,0.06672187605246169,0.9468338437766506,0.952047952047952,0.9734667368255154,1.0
g__unknown_115;,1.628948525409089,0.10404952062832863,0.08491508491508491,0.5870853284646388,1.0
g__unknown_116;,0.27912522095432074,0.7802816885201213,0.7882117882117882,0.9280748576936261,1.0
g__unknown_117;,0.43744324450298044,0.6620075256581641,0.6453546453546454,0.9030934222571853,1.0
g__unknown_118;,1.848797112236149,0.06516703297326651,0.07292707292707293,0.5517689857312499,1.0
g__unknown_119;,0.4480322474910988,0.6543534914371362,0.6153846153846154,0.8924385223317608,1.0
g__unknown_11;,-0.06883131970229613,0.9451555887953023,0.9530469530469531,0.9734667368255154,1.0
g__unknown_121;,1.02900005765319,0.30405277257286045,0.2817182817182817,0.8212287712287712,1.0
g__unknown_123;,-0.42954366383003967,0.6677407941102794,0.6593406593406593,0.9074802748272136,1.0
g__unknown_124;,0.17116666693253674,0.8641724904577734,0.8551448551448552,0.9343680842318445,1.0
g__unknown_126;,0.5276258688825721,0.5980286649747739,0.6323676323676324,0.896040355404313,1.0
g__unknown_128;,-0.1485459571087667,0.8819809136709964,0.8731268731268731,0.9462807462807462,1.0
g__unknown_129;,-1.6863148081644572,0.09245384722519516,0.07292707292707293,0.5517689857312499,1.0
g__unknown_12;,1.436882122896402,0.1514719878653095,0.14685314685314685,0.701048951048951,1.0
g__unknown_131;,1.0549541219487992,0.2920332300747569,0.27472527472527475,0.8212287712287712,1.0
g__unknown_134;,-2.269555146470687,0.023724461346594925,0.003996003996003996,0.16023976023976022,1.0
g__unknown_137;,-0.2053291676485706,0.837411227063156,0.8521478521478522,0.9343680842318445,1.0
g__unknown_139;,0.3700082432134533,0.7115568402500814,0.6793206793206793,0.9110621819651921,1.0
g__unknown_13;,-1.2253460748643314,0.22110941680846985,0.25674325674325676,0.8170956028098886,1.0
g__unknown_1413;,-0.6716730715234279,0.5021492114090799,0.4165834165834166,0.8407198182982936,1.0
g__unknown_143;,1.806405774548172,0.07154754021754647,0.06793206793206794,0.5517689857312499,1.0
g__unknown_1467;,-0.23180618780095205,0.8167978073882659,0.6973026973026973,0.9128810583356037,1.0
g__unknown_146;,-0.2951782426925566,0.7679988786030179,0.7652347652347652,0.9187399426920385,1.0
g__unknown_147;,-0.07514996732302762,0.940130018837931,0.9330669330669331,0.9643294849480417,1.0
g__unknown_149;,-0.05041900494907049,0.9598116876965951,0.945054945054945,0.9734667368255154,1.0
g__unknown_14;,-2.3503687243921267,0.01920165207778592,0.01898101898101898,0.32047952047952044,0.999
g__unknown_150;,-0.1854156889158787,0.8529896246888531,0.8511488511488512,0.9343680842318445,1.0
g__unknown_152;,2.135713176384439,0.033261890563690416,0.01998001998001998,0.32047952047952044,1.0
g__unknown_154;,-0.7814468985343173,0.4349657695126169,0.43456543456543456,0.8407198182982936,1.0
g__unknown_156;,-2.1975485766507807,0.02850892699588483,0.017982017982017984,0.32047952047952044,1.0
g__unknown_157;,1.2671172763671548,0.20579287123470963,0.21178821178821178,0.7582774368488654,1.0
g__unknown_158;,-0.28097128256961107,0.7788663246095577,0.7322677322677322,0.9128810583356037,1.0
g__unknown_15;,-3.388331351179575,0.0007673688762628954,0.000999000999000999,0.06676656676656677,0.309
g__unknown_160;,-0.7906524571896367,0.4295786539174684,0.4035964035964036,0.8407198182982936,1.0
g__unknown_162;,-0.3431328701251209,0.7316646494402521,0.7112887112887113,0.9128810583356037,1.0
g__unknown_164;,0.19624905803215054,0.8445070900037959,0.8361638361638362,0.9339880175534772,1.0
g__unknown_166;,0.06496406430881999,0.9482325246490375,0.954045954045954,0.9734667368255154,1.0
g__unknown_167;,1.9265941133753395,0.05468287458976,0.03796203796203796,0.4228549228549228,1.0
g__unknown_168;,-1.710559234645898,0.08787713392730538,0.054945054945054944,0.4896214896214896,1.0
g__unknown_169;,-0.20605741967701766,0.836842683922697,0.8291708291708292,0.9332399444131287,1.0
g__unknown_16;,-0.5600038875967781,0.5757657098773571,0.5524475524475524,0.879093129093129,1.0
g__unknown_170;,0.7539920706299735,0.4512628600278681,0.45354645354645357,0.8407198182982936,1.0
g__unknown_171;,-2.5736108199728873,0.010395232325633877,0.005994005994005994,0.1848920310458772,0.98
g__unknown_173;,-0.8389685358132914,0.4019488258120931,0.3806193806193806,0.8407198182982936,1.0
g__unknown_174;,-0.7702203459974728,0.44158824275026265,0.4305694305694306,0.8407198182982936,1.0
g__unknown_177;,-0.4610951613073486,0.644961318374263,0.6243756243756243,0.8924385223317608,1.0
g__unknown_178;,1.4595523054706276,0.14513657243805125,0.17682317682317683,0.723531570470346,1.0
g__unknown_179;,-0.1265941936690157,0.8993202203477321,0.8851148851148851,0.9488999064595882,1.0
g__unknown_17;,-0.31887436254449475,0.7499751947880764,0.7312687312687313,0.9128810583356037,1.0
g__unknown_182;,0.359791384789188,0.7191781548619167,0.6943056943056943,0.9128810583356037,1.0
g__unknown_185;,-0.6756494771809002,0.4996230604119335,0.5124875124875125,0.8738813928687347,1.0
