,T_obs,p_true,p_perm,q_perm_BH,q_perm_Lee
63d8e9a325af7493fef548aa059f93a9,1.3144751191335102,0.18938059774545377,0.16983016983016982,0.707342518976868,1.0
572be56789b840dc21f0dfad380396b3,0.6457655777306157,0.518772460350767,0.5094905094905094,0.9230100799443867,1.0
52ba52e30f9d5544bdace0dc6dd18956,-0.4144973602617071,0.6787146935180314,0.7212787212787213,0.964119654595845,1.0
da08cefbe17c776cf78b0634a8377efa,0.6156466550320984,0.5384504642991581,0.5394605394605395,0.9272214429008854,1.0
9eaff8c3aca7b74962decea682803d9c,-0.10699831217044944,0.914839761056707,0.9240759240759241,0.9980853638711775,1.0
af3909edeceab197f554e240fe97af83,0.40413954454272444,0.6863091809691462,0.6923076923076923,0.9599128486970144,1.0
9243bc95f3bb4eba8fabc522fa335a7f,-0.25576349178549007,0.7982546402994068,0.8211788211788211,0.9815392093667112,1.0
8dc998690c208848dc6a884219d1d78b,-0.05183043507384591,0.9586876513188352,0.9530469530469531,0.9980853638711775,1.0
8e121f6e82f82d6e7e2f831b9ce9e75c,-1.8812726260067916,0.06060398571551891,0.052947052947052944,0.5812953280485748,1.0
d6fb5a6d274b2864d58729b26b6573e5,1.2760384479856852,0.2026243982991952,0.14585414585414586,0.6977531670783205,1.0
734dcd020504800d8042434e28b57298,1.6931520078799511,0.09114412930053653,0.09090909090909091,0.6389734667246629,1.0
dfc82561fb6ae5e03d37d5250f700a6b,-0.5632426603015375,0.5735605269828128,0.5724275724275725,0.9364099152517862,1.0
e15b6ef1cd643dff3f0649b7baba06e8,2.7790554609520153,0.005688463823283373,0.012987012987012988,0.423953823953824,0.999
f674778ad4f6d705a269ff2985b23f5e,-0.12542530874066796,0.9002449308326272,0.9040959040959041,0.9957093903878826,1.0
6343c15ef6a0b28bb8d019ebbcd0a55a,0.24523167000193655,0.8063929707500661,0.8191808191808192,0.9815392093667112,1.0
777dafa3e5bad680cc5a2c1418e8b728,2.785226440060172,0.005583210540837549,0.005994005994005994,0.3386613386613387,0.999
3d48874183df65f00f253cf68234e2ca,0.5556394818270631,0.5787436415338558,0.5614385614385614,0.9353866853866853,1.0
edc06e5f20535c71071803ccc27290d8,1.357780946467226,0.1752387160063264,0.15484515484515485,0.6977531670783205,1.0
3e93687b8cd83adb12e013fac46aab64,0.5608590378493582,0.5751830735789507,0.5644355644355644,0.9353866853866853,1.0
9cda306bfa89b41598d23c5f3b44784b,3.8225564606453393,0.00015138971380943025,0.001998001998001998,0.18344155844155846,0.653
a79603bb90824ed6e253837fe96c6c49,0.6900835541440806,0.4905104906109248,0.5504495504495505,0.9297722825120085,1.0
df3d6113f855e22f2a6d44e60f01baa7,1.8616441545112927,0.06332903023337662,0.06593406593406594,0.5978835978835979,1.0
116a9efec347dcdd9a424cf8c3dedc4f,-0.6483120759903076,0.5171259784617985,0.5254745254745254,0.9272214429008854,1.0
a5ec531682184cfe7512196a43762ee8,1.394967927960183,0.1637389891893179,0.15684315684315683,0.69818968909878,1.0
da8b26f82eb70e299518e149ae85f3d9,-1.6137588833119996,0.10730654289541006,0.12787212787212787,0.6855626125699118,1.0
c2ee2adfd97075470b45e61735a63827,-0.9690990255286188,0.333035531969868,0.33166833166833165,0.8367950542608077,1.0
227150a66a20144052651a21613100be,-1.8041380412606367,0.07190285813629493,0.06793206793206794,0.5988207195103747,1.0
80c3a5fe68825d1c462d469aad9d30cd,2.177911503790423,0.0299503717718371,0.04995004995004995,0.5732548701298702,1.0
