"","Kingdom","Phylum","Class","Order","Family","Rank6","Rank7","Genus","Species","Rank5","Rank3","Rank4","Rank2"
"4349447","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4340285","Bacteria","Acidobacteria","Acidobacteria-6","iii1-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4481131","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA,NA,NA,NA,NA,NA,NA
"177679","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA,NA,NA,NA,NA,NA,NA
"153210","Bacteria","Proteobacteria","Alphaproteobacteria","BD7-3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"505670","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]",NA,NA,NA,NA,NA,NA,NA,NA
"4481011","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Sporichthyaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4469032","Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2510539","Bacteria","Firmicutes","Clostridia","Clostridiales","[Acidaminobacteraceae]",NA,NA,NA,NA,NA,NA,NA,NA
"710629","Bacteria","Chloroflexi","Chloroflexi","AKIW781",NA,NA,NA,NA,NA,NA,NA,NA,NA
"982266","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","[Chromatiaceae]",NA,NA,NA,NA,NA,NA,NA,NA
"99322","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4333669","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4362620","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae",NA,NA,NA,NA,NA,NA,NA,NA
"4480598","Bacteria","Firmicutes","Bacilli","Bacillales","[Exiguobacteraceae]",NA,NA,NA,NA,NA,NA,NA,NA
"4458619","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermacoccaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1117593","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4423681","Bacteria","Gemmatimonadetes","Gemmatimonadetes","N1423WL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4303191","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4453535","Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4365130","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4340706","Bacteria","Acidobacteria","[Chloracidobacteria]","RB41","Ellin6075",NA,NA,NA,NA,NA,NA,NA,NA
"807632","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae",NA,NA,NA,NA,NA,NA,NA,NA
"2211108","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"4417805","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"2020091","Bacteria","Cyanobacteria","Chloroplast","Chlorophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"163857","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae",NA,NA,NA,NA,NA,NA,NA,NA
"940348","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Patulibacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"23652","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1058762","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4472239","Bacteria","Chlorobi","OPB56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2836860","Bacteria","GN02","BD1-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1049961","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae",NA,NA,NA,NA,NA,NA,NA,NA
"890516","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Frankiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"290686","Bacteria","Verrucomicrobia","Opitutae","[Cerasicoccales]","[Cerasicoccaceae]",NA,NA,NA,NA,NA,NA,NA,NA
"7821","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4349553","Bacteria","Acidobacteria","Acidobacteria-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4430826","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"494971","Bacteria","Synergistetes","Synergistia","Synergistales","Dethiosulfovibrionaceae",NA,NA,NA,NA,NA,NA,NA,NA
"175844","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Barnesiellaceae]",NA,NA,NA,NA,NA,NA,NA,NA
"4447394","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"3171078","Bacteria","Actinobacteria","Nitriliruptoria","Euzebyales","Euzebyaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4463185","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4325659","Bacteria","Proteobacteria","Betaproteobacteria","ASSO-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"339685","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae",NA,NA,NA,NA,NA,NA,NA,NA
"7366","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"226240","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1118132","Bacteria","Proteobacteria","Gammaproteobacteria","34P16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4312075","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Saprospiraceae",NA,NA,NA,NA,NA,NA,NA,NA
"4451781","Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4431592","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae",NA,NA,NA,NA,NA,NA,NA,NA
